"foul","minute","count"
"Defensive 3 Seconds",1,24
"Defensive 3 Seconds",2,28
"Defensive 3 Seconds",3,38
"Defensive 3 Seconds",4,38
"Defensive 3 Seconds",5,45
"Defensive 3 Seconds",6,54
"Defensive 3 Seconds",7,51
"Defensive 3 Seconds",8,58
"Defensive 3 Seconds",9,58
"Defensive 3 Seconds",10,39
"Defensive 3 Seconds",11,42
"Defensive 3 Seconds",12,30
"Defensive 3 Seconds",13,39
"Defensive 3 Seconds",14,33
"Defensive 3 Seconds",15,53
"Defensive 3 Seconds",16,40
"Defensive 3 Seconds",17,43
"Defensive 3 Seconds",18,53
"Defensive 3 Seconds",19,49
"Defensive 3 Seconds",20,37
"Defensive 3 Seconds",21,39
"Defensive 3 Seconds",22,44
"Defensive 3 Seconds",23,47
"Defensive 3 Seconds",24,18
"Defensive 3 Seconds",25,40
"Defensive 3 Seconds",26,30
"Defensive 3 Seconds",27,36
"Defensive 3 Seconds",28,26
"Defensive 3 Seconds",29,27
"Defensive 3 Seconds",30,29
"Defensive 3 Seconds",31,39
"Defensive 3 Seconds",32,39
"Defensive 3 Seconds",33,19
"Defensive 3 Seconds",34,27
"Defensive 3 Seconds",35,26
"Defensive 3 Seconds",36,10
"Defensive 3 Seconds",37,21
"Defensive 3 Seconds",38,25
"Defensive 3 Seconds",39,11
"Defensive 3 Seconds",40,15
"Defensive 3 Seconds",41,24
"Defensive 3 Seconds",42,18
"Defensive 3 Seconds",43,12
"Defensive 3 Seconds",44,7
"Defensive 3 Seconds",45,5
"Defensive 3 Seconds",46,1
"Defensive 3 Seconds",47,3
"Defensive 3 Seconds",50,2